Date,Open,High,Low,Close,Adj Close
24-09-21,17897.45,17947.65,17819.4,17853.2,17853.2
27-09-21,17932.2,17943.5,17802.9,17855.1,17855.1
28-09-21,17906.45,17912.85,17576.1,17748.6,17748.6
29-09-21,17657.95,17781.75,17608.15,17711.3,17711.3
30-09-21,17718.9,17742.15,17585.35,17618.15,17618.15
01-10-21,17531.9,17557.15,17452.9,17532.05,17532.05
04-10-21,17615.55,17750.9,17581.35,17691.25,17691.25
05-10-21,17661.35,17833.45,17640.9,17822.3,17822.3
06-10-21,17861.5,17884.6,17613.15,17646,17646
07-10-21,17810.55,17857.55,17763.8,17790.35,17790.35
08-10-21,17886.85,17941.85,17840.35,17895.2,17895.2
11-10-21,17867.55,18041.95,17839.1,17945.95,17945.95
12-10-21,17915.8,18008.65,17864.95,17991.95,17991.95
13-10-21,18097.85,18197.8,18050.75,18161.75,18161.75
14-10-21,18272.85,18350.75,18248.7,18338.55,18338.55
18-10-21,18500.1,18543.15,18445.3,18477.05,18477.05
19-10-21,18602.35,18604.45,18377.7,18418.75,18418.75
20-10-21,18439.9,18458.3,18209.35,18266.6,18266.6
21-10-21,18382.7,18384.2,18048,18178.1,18178.1
22-10-21,18230.7,18314.25,18034.35,18114.9,18114.9
25-10-21,18229.5,18241.4,17968.5,18125.4,18125.4
26-10-21,18154.5,18310.45,18099.3,18268.4,18268.4
27-10-21,18295.85,18342.05,18167.9,18210.95,18210.95
28-10-21,18187.65,18190.7,17799.45,17857.25,17857.25
29-10-21,17833.05,17915.85,17613.1,17671.65,17671.65
01-11-21,17783.15,17954.1,17697.1,17929.65,17929.65
02-11-21,17970.9,18012.25,17847.6,17888.95,17888.95
03-11-21,17947.95,17988.75,17757.95,17829.2,17829.2
04-11-21,17935.05,17947.55,17900.6,17916.8,17916.8
08-11-21,18040.2,18087.8,17836.1,18068.55,18068.55
09-11-21,18084.35,18112.6,17983.05,18044.25,18044.25
10-11-21,17973.45,18061.25,17915,18017.2,18017.2
11-11-21,17967.45,17971.35,17798.2,17873.6,17873.6
12-11-21,17977.6,18123,17905.9,18102.75,18102.75
15-11-21,18140.95,18210.15,18071.3,18109.45,18109.45
